1.5 11.16
1.5 2.88
1.5 1.14
1.5 5.36
1.5 1.57
1.5 1.56
1.5 1.18
1.5 2.56
1.5 1.12
1.5 26.1
1.5 1.02
2 1.25
2 1.04
2 1.25
2 8.66
2 1.5
1.5 1.35
1.5 1.04
1.5 1.64
1.5 1.54
1.5 2.94
1.5 1.45
1.5 1.92
1.5 4.35
1.5 1.14
1.5 1.2
1.5 1.94
1.5 1.0
1.5 1.45
1.5 2.65
1.5 2.85
1.5 1.71
1.5 9.91
1.5 1.74
1.5 9.19
1.5 1.76
1.5 3.52
1.5 1.13
1.5 1.18
1.5 9.31
1.5 1.33
1.5 1.1
2 1.37
1.5 2.52
1.5 4.7
1.5 46.66
1.5 3.89
1.5 1.17
1.5 1.52
1.5 7.21
1.5 2.58
1.5 1.45
1.5 1.0
1.5 1.91
1.5 1.01
1.5 1.1
1.5 3.13
2 1.07
2 2.86
2 1.23
1.5 1.59
1.5 31.66
1.5 1.15
1.5 2.56
1.5 4.22
1.5 1.12
1.5 1.61
1.5 7.41
1.5 1.14
1.5 17.11
1.5 7.96
1.5 6.6
1.5 1.21
1.5 6.11
1.5 1.0
1.5 1.15
2 1.22
1.5 1.0
2 1.49
1 1.57
1.5 26.08
1.5 1.23
1.5 1.62
1.5 1.25
1.5 1.29
1.5 1.16
1.5 17.22
1.5 1.38
1.5 1.58
1.5 1.75
1.5 1.84
1.5 55.06
1.5 1.25
1.5 10.02
1.5 9.48
1.5 3.62
1.5 1.0
1.5 1.06
1.5 4.79
1.5 3.83
1.5 1.63
1.5 8.69
1.5 2.33
1.5 1.48
1.5 1.71
1.5 13.87
1.5 1.0
1.5 1.54
1.5 1.05
2 1.26
2 4.97
2 2.83
1.5 4.51
1.5 1.04
1.5 1.01
1.5 1.02
2 1.97
2 1.0
2 1.46
2 1.87
1 1.23
1.5 1.11
1.5 1.07
1.5 1.07
1.5 4.74
2 2.61
2 1.04
2 11.3
1.5 2.84
1.5 12.56
1.5 2.47
1.5 4.03
1.5 2.56
1.5 1.56
1.5 2.9
1.5 1.08
1.5 1.02
1.5 17.17
1.5 3.24
1.5 1.67
1.5 1.72
1.5 1.81
1.5 3.33
1.5 13.09
1.5 2.86
