1.17 1.28 1.21 1.08 1.26 3.03
4.35 1.14 1.2 1.94 1.0 1.45
2.61 1.04 11.3 2.84 12.56 2.47
1.66 2.85 5.81 3.55 1.37 1.47
5.37 1.12 1.43 3.42 2.06 3.71
1.91 1.47 1.01 8.68 1.69 7.16
1.01 1.1 3.13 1.07 2.86 1.23
1.0 16.26 1.38 5.96 3.56 1.37
3.61 3.51 8.63 14.82 1.38 1.39
3.58 1.21 1.55 8.47 2.17 1.63
1.76 2.16 7.71 1.14 1.01 1.21
1.24 3.93 1.41 1.24 1.58 6.2
1.99 6.14 2.06 1.0 1.0 1.22
3.51 1.04 1.24 2.71 1.65 2.55
6.2 1.88 1.51 6.73 4.88 1.39
22.77 1.77 1.07 1.46 23.92 5.8
18.71 5.43 1.44 1.16 1.76 1.81
2.5 1.8 14.43 1.27 3.81 1.98
30.25 1.03 1.89 1.1 3.6 1.83
2.01 1.69 2.29 2.12 1.45 5.31
2.16 7.71 1.14 1.01 1.21 1.11
1.91 1.31 1.6 4.42 7.37 1.11
6.5 1.08 1.0 1.39 1.34 1.0
1.5 1.67 1.38 7.74 1.7 2.92
1.13 1.3 1.14 3.52 8.51 1.82
1.07 5.94 1.04 1.15 1.33 1.54
3.47 3.95 1.0 1.12 10.04 2.43
1.35 1.12 2.98 64.2 11.16 2.88
1.89 4.83 4.23 1.78 1.06 2.28
7.98 2.93 1.34 1.26 1.06 1.65
2.02 1.35 2.63 32.0 3.51 1.34
1.2 1.08 1.11 5.68 1.56 4.69
1.38 6.89 2.03 1.5 1.24 1.1
3.83 1.63 8.69 2.33 1.48 1.71
1.61 2.49 1.0 1.1 1.38 6.89
13.87 1.0 1.54 1.05 1.26 4.97
1.64 1.08 1.08 7.16 4.39 33.8
3.18 1.32 1.0 1.0 4.06 1.15
1.41 1.24 1.58 6.2 1.88 1.51
2.4 1.07 1.17 1.14 1.36 1.55
1.33 1.26 1.26 1.05 1.2 23.95
52.42 1.55 2.44 3.59 3.54 3.94
23.92 5.8 5.36 1.58 4.04 2.49
2.32 24.71 9.4 4.06 1.65 5.89
1.19 1.2 1.41 1.74 3.36 1.16
10.82 1.25 4.64 1.07 5.88 27.02
1.15 1.31 3.19 4.51 1.01 7.75
1.02 1.18 1.88 8.38 4.08 5.73
4.03 2.56 1.56 2.9 1.08 1.02
152.97 12.11 1.74 1.78 1.02 10.82
1.07 1.11 28.14 94.77 2.36 1.46
1.97 1.0 1.46 1.87 1.23 1.11
3.6 2.99 1.27 2.51 10.0 1.86
2.44 3.94 1.53 1.06 10.47 5.61
1.1 5.2 6.86 1.0 2.37 1.62
5.6 3.77 5.81 8.41 1.3 6.65
1.67 1.72 1.81 3.33 13.09 2.86
1.16 1.0 7.49 5.56 7.68 1.37
1.14 5.36 1.57 1.56 1.18 2.56
1.2 1.75 1.77 2.46 1.05 1.14
1.33 1.24 1.19 1.2 1.41 1.74
5.2 6.86 1.0 2.37 1.62 1.67
1.13 1.18 9.31 1.33 1.1 1.37
1.01 8.68 1.69 7.16 1.27 1.21
1.78 1.06 2.28 1.67 1.46 16.63
2.9 11.48 7.63 79.66 2.19 1.61
2.03 13.38 1.2 1.02 3.99 34.53
1.92 1.94 1.59 1.35 23.35 1.0
28.08 152.97 12.11 1.74 1.78 1.02
2.29 2.09 2.24 1.1 6.4 1.47
7.21 2.58 1.45 1.0 1.91 1.01
16.63 1.0 3.9 1.17 1.36 3.3
2.22 98.32 51.89 2.9 3.61 1.04
1.54 2.94 1.45 1.92 4.35 1.14
1.0 1.0 4.06 1.15 2.84 1.46
2.63 32.0 3.51 1.34 1.46 1.2
1.15 1.13 1.4 11.81 1.0 3.51
3.93 1.41 1.24 1.58 6.2 1.88
6.58 7.67 1.82 4.83 1.26 11.42
1.88 8.38 4.08 5.73 6.22 1.6
5.81 3.55 1.37 1.47 1.77 1.11
1.64 2.76 2.89 3.0 1.28 1.82
1.02 3.98 1.19 50.24 1.09 1.66
2.62 3.55 1.21 1.78 3.12 1.2
6.07 1.38 2.03 3.2 1.27 1.05
11.15 3.35 1.04 11.76 1.39 1.36
6.65 2.58 3.39 14.15 5.49 3.56
1.85 9.6 1.03 7.34 4.08 1.17
1.97 1.51 4.86 3.85 5.18 2.35
1.0 1.88 1.18 1.31 1.53 2.25
4.23 1.78 1.06 2.28 1.67 1.46
6.31 1.37 1.02 2.22 2.57 1.01
6.73 4.88 1.39 2.22 3.78 1.91
1.23 1.59 31.66 1.15 2.56 4.22
1.15 1.33 1.54 1.8 1.59 1.26
3.29 2.38 40.79 1.85 4.47 4.98
1.0 35.19 3.88 2.56 1.34 5.68
1.14 1.4 12.36 2.02 1.35 2.63
1.06 2.43 1.72 1.09 1.59 18.84
2.16 1.61 2.5 1.8 14.43 1.27
5.87 4.45 11.82 1.44 5.63 33.72
5.16 2.23 1.31 2.78 2.64 1.59
1.75 1.08 1.21 1.08 147.35 1.14
1.38 1.62 5.91 2.84 4.27 3.29
