64.2 11.16 2.88 1.14 5.36 1.57
12.56 2.47 4.03 2.56 1.56 2.9
6.6 1.21 6.11 1.0 1.15 1.22
10.02 9.48 3.62 1.0 1.06 4.79
1.74 9.19 1.76 3.52 1.13 1.18
3.89 1.17 1.52 7.21 2.58 1.45
1.1 3.13 1.07 2.86 1.23 1.59
1.63 8.69 2.33 1.48 1.71 13.87
55.06 1.25 10.02 9.48 3.62 1.0
1.08 1.02 17.17 3.24 1.67 1.72
1.0 1.15 1.22 1.0 1.49 1.57
1.25 1.04 1.25 8.66 1.5 1.35
2.86 1.23 1.59 31.66 1.15 2.56
1.52 7.21 2.58 1.45 1.0 1.91
1.0 1.06 4.79 3.83 1.63 8.69
1.54 1.05 1.26 4.97 2.83 4.51
4.79 3.83 1.63 8.69 2.33 1.48
1.04 1.64 1.54 2.94 1.45 1.92
1.76 3.52 1.13 1.18 9.31 1.33
1.06 4.79 3.83 1.63 8.69 2.33
2.88 1.14 5.36 1.57 1.56 1.18
9.19 1.76 3.52 1.13 1.18 9.31
17.22 1.38 1.58 1.75 1.84 55.06
1.04 1.01 1.02 1.97 1.0 1.46
1.54 2.94 1.45 1.92 4.35 1.14
2.83 4.51 1.04 1.01 1.02 1.97
1.14 1.2 1.94 1.0 1.45 2.65
3.83 1.63 8.69 2.33 1.48 1.71
5.36 1.57 1.56 1.18 2.56 1.12
2.56 1.12 26.1 1.02 1.25 1.04
1.57 26.08 1.23 1.62 1.25 1.29
2.84 12.56 2.47 4.03 2.56 1.56
1.17 1.52 7.21 2.58 1.45 1.0
1.14 5.36 1.57 1.56 1.18 2.56
1.02 1.25 1.04 1.25 8.66 1.5
1.35 1.12 2.98 64.2 11.16 2.88
1.57 1.56 1.18 2.56 1.12 26.1
1.26 4.97 2.83 4.51 1.04 1.01
1.12 1.61 7.41 1.14 17.11 7.96
1.21 6.11 1.0 1.15 1.22 1.0
1.46 1.87 1.23 1.11 1.07 1.07
1.61 7.41 1.14 17.11 7.96 6.6
1.49 1.57 26.08 1.23 1.62 1.25
1.0 1.46 1.87 1.23 1.11 1.07
17.17 3.24 1.67 1.72 1.81 3.33
1.0 1.91 1.01 1.1 3.13 1.07
11.16 2.88 1.14 5.36 1.57 1.56
1.25 8.66 1.5 1.35 1.04 1.64
1.58 1.75 1.84 55.06 1.25 10.02
1.84 55.06 1.25 10.02 9.48 3.62
3.73 3.36 1.35 1.12 2.98 64.2
7.41 1.14 17.11 7.96 6.6 1.21
1.14 17.11 7.96 6.6 1.21 6.11
1.45 1.92 4.35 1.14 1.2 1.94
7.96 6.6 1.21 6.11 1.0 1.15
3.13 1.07 2.86 1.23 1.59 31.66
1.13 1.18 9.31 1.33 1.1 1.37
31.66 1.15 2.56 4.22 1.12 1.61
1.05 1.26 4.97 2.83 4.51 1.04
2.56 4.22 1.12 1.61 7.41 1.14
4.35 1.14 1.2 1.94 1.0 1.45
1.23 1.59 31.66 1.15 2.56 4.22
8.69 2.33 1.48 1.71 13.87 1.0
3.36 1.35 1.12 2.98 64.2 11.16
1.04 1.25 8.66 1.5 1.35 1.04
1.5 1.35 1.04 1.64 1.54 2.94
26.1 1.02 1.25 1.04 1.25 8.66
4.97 2.83 4.51 1.04 1.01 1.02
1.64 1.54 2.94 1.45 1.92 4.35
13.87 1.0 1.54 1.05 1.26 4.97
1.62 1.25 1.29 1.16 17.22 1.38
1.33 1.1 1.37 2.52 4.7 46.66
1.91 1.01 1.1 3.13 1.07 2.86
2.56 1.56 2.9 1.08 1.02 17.17
7.21 2.58 1.45 1.0 1.91 1.01
1.18 9.31 1.33 1.1 1.37 2.52
1.94 1.0 1.45 2.65 2.85 1.71
26.08 1.23 1.62 1.25 1.29 1.16
9.91 1.74 9.19 1.76 3.52 1.13
1.18 2.56 1.12 26.1 1.02 1.25
1.07 1.07 4.74 2.61 1.04 11.3
3.52 1.13 1.18 9.31 1.33 1.1
1.23 1.62 1.25 1.29 1.16 17.22
3.24 1.67 1.72 1.81 3.33 13.09
1.12 26.1 1.02 1.25 1.04 1.25
1.0 1.54 1.05 1.26 4.97 2.83
1.02 17.17 3.24 1.67 1.72 1.81
9.48 3.62 1.0 1.06 4.79 3.83
1.16 17.22 1.38 1.58 1.75 1.84
1.2 1.94 1.0 1.45 2.65 2.85
4.7 46.66 3.89 1.17 1.52 7.21
1.92 4.35 1.14 1.2 1.94 1.0
1.67 1.72 1.81 3.33 13.09 2.86
1.23 1.11 1.07 1.07 4.74 2.61
4.03 2.56 1.56 2.9 1.08 1.02
1.0 1.45 2.65 2.85 1.71 9.91
17.11 7.96 6.6 1.21 6.11 1.0
2.94 1.45 1.92 4.35 1.14 1.2
1.01 1.1 3.13 1.07 2.86 1.23
1.12 2.98 64.2 11.16 2.88 1.14
2.58 1.45 1.0 1.91 1.01 1.1
1.71 9.91 1.74 9.19 1.76 3.52
3.62 1.0 1.06 4.79 3.83 1.63
1.37 2.52 4.7 46.66 3.89 1.17
1.45 2.65 2.85 1.71 9.91 1.74
1.22 1.0 1.49 1.57 26.08 1.23
2.65 2.85 1.71 9.91 1.74 9.19
1.01 1.02 1.97 1.0 1.46 1.87
2.33 1.48 1.71 13.87 1.0 1.54
1.15 2.56 4.22 1.12 1.61 7.41
2.52 4.7 46.66 3.89 1.17 1.52
1.38 1.58 1.75 1.84 55.06 1.25
1.29 1.16 17.22 1.38 1.58 1.75
1.04 11.3 2.84 12.56 2.47 4.03
4.51 1.04 1.01 1.02 1.97 1.0
1.75 1.84 55.06 1.25 10.02 9.48
11.3 2.84 12.56 2.47 4.03 2.56
1.11 1.07 1.07 4.74 2.61 1.04
2.47 4.03 2.56 1.56 2.9 1.08
6.11 1.0 1.15 1.22 1.0 1.49
1.56 2.9 1.08 1.02 17.17 3.24
1.02 1.97 1.0 1.46 1.87 1.23
1.07 4.74 2.61 1.04 11.3 2.84
1.0 1.49 1.57 26.08 1.23 1.62
1.07 2.86 1.23 1.59 31.66 1.15
1.71 13.87 1.0 1.54 1.05 1.26
46.66 3.89 1.17 1.52 7.21 2.58
2.61 1.04 11.3 2.84 12.56 2.47
1.59 31.66 1.15 2.56 4.22 1.12
8.66 1.5 1.35 1.04 1.64 1.54
2.9 1.08 1.02 17.17 3.24 1.67
4.74 2.61 1.04 11.3 2.84 12.56
1.45 1.0 1.91 1.01 1.1 3.13
1.35 1.04 1.64 1.54 2.94 1.45
1.25 10.02 9.48 3.62 1.0 1.06
9.31 1.33 1.1 1.37 2.52 4.7
1.1 1.37 2.52 4.7 46.66 3.89
1.87 1.23 1.11 1.07 1.07 4.74
2.85 1.71 9.91 1.74 9.19 1.76
4.22 1.12 1.61 7.41 1.14 17.11
1.15 1.22 1.0 1.49 1.57 26.08
1.56 1.18 2.56 1.12 26.1 1.02
1.48 1.71 13.87 1.0 1.54 1.05
1.97 1.0 1.46 1.87 1.23 1.11
2.98 64.2 11.16 2.88 1.14 5.36
1.25 1.29 1.16 17.22 1.38 1.58
